Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2017-04-20,52.24,52.34,52.12,52.25,-0.02,52.26,370.0,4377.0,,,
2017-04-19,,,,52.27,-1.91,,588.0,4257.0,,,
2017-04-18,,,,54.18,-0.25,,352.0,4249.0,,,
2017-04-17,,,,54.43,,,368.0,4276.0,,,
2017-04-13,54.84,54.84,54.84,54.8,0.09,54.84,546.0,4352.0,,,
2017-04-12,,,,54.71,-0.04,,359.0,4292.0,,,
2017-04-11,,,,54.75,0.36,,403.0,4230.0,,,
2017-04-10,,,,54.39,0.8,,121.0,4200.0,,,
2017-04-07,,,,53.59,0.38,,608.0,4276.0,,,
2017-04-06,53.05,53.05,53.05,53.21,0.4,53.05,193.0,4296.0,,,
2017-04-05,,,,52.81,0.03,,355.0,4326.0,,,
2017-04-04,,,,52.78,0.76,,149.0,4341.0,,,
2017-04-03,,,,52.02,-0.08,,389.0,4371.0,,,
2017-03-31,,,,52.1,0.32,,163.0,4344.0,,,
2017-03-30,,,,51.78,0.73,,262.0,4233.0,,,
2017-03-29,,,,51.05,0.84,,330.0,4245.0,,,
2017-03-28,,,,50.21,0.39,,147.0,4271.0,,,
2017-03-27,,,,49.82,-0.01,,196.0,4328.0,,,
2017-03-24,,,,49.83,0.18,,134.0,4289.0,,,
2017-03-23,,,,49.65,-0.3,,218.0,4334.0,,,
2017-03-22,,,,49.95,-0.08,,466.0,4393.0,,,
2017-03-21,,,,50.03,-0.34,,126.0,4383.0,,,
2017-03-20,,,,50.37,-0.12,,156.0,4334.0,,,
2017-03-17,,,,50.49,0.05,,229.0,4395.0,,,
2017-03-16,,,,50.44,-0.28,,140.0,4454.0,,,
2017-03-15,,,,50.72,0.63,,287.0,4347.0,,,
2017-03-14,,,,50.09,-0.48,,435.0,4281.0,,,
2017-03-13,,,,50.57,0.07,,227.0,4240.0,,,
2017-03-10,,,,50.5,-0.85,,209.0,4191.0,,,
2017-03-09,,,,51.35,-0.87,,165.0,4161.0,,,
2017-03-08,,,,52.22,-2.51,,237.0,4157.0,,,
2017-03-07,,,,54.73,-0.12,,352.0,4181.0,,,
2017-03-06,,,,54.85,0.1,,58.0,4180.0,,,
2017-03-03,,,,54.75,0.62,,135.0,4180.0,,,
2017-03-02,,,,54.13,-0.94,,955.0,4714.0,,,
2017-03-01,,,,55.07,-0.14,,169.0,4723.0,,,
2017-02-28,,,,55.21,0.26,,51.0,4721.0,,,
2017-02-27,,,,54.95,0.19,,156.0,4731.0,,,
2017-02-24,,,,54.76,-0.33,,286.0,4741.0,,,
2017-02-23,,,,55.09,0.64,,206.0,4680.0,,,
2017-02-22,,,,54.45,-0.46,,190.0,4697.0,,,
2017-02-21,,,,54.91,-0.13,,2001.0,5904.0,,,
2017-02-20,,,,55.04,0.22,,68.0,5864.0,,,
2017-02-17,,,,54.82,-0.03,,165.0,5850.0,,,
2017-02-16,,,,54.85,-0.22,,186.0,5862.0,,,
2017-02-15,,,,55.07,-0.31,,332.0,5750.0,,,
